Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 121.0.0.0,,,13-02-2024 07:49:41,13-02-2024 07:52:38,2m - 56.769s,PASSED
,,,,,,,
Test Cases/Login 01 - Sukses,Chrome 121.0.0.0,,,13-02-2024 07:49:42,13-02-2024 07:50:34,52.238s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:49:42,13-02-2024 07:49:44,2.017s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:49:44,13-02-2024 07:49:48,3.951s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 07:49:48,13-02-2024 07:49:53,5.245s,PASSED
"setText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,13-02-2024 07:49:53,13-02-2024 07:49:56,2.839s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,13-02-2024 07:49:56,13-02-2024 07:49:58,1.556s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,13-02-2024 07:49:58,13-02-2024 07:50:30,31.931s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/span_testname""), username)",Chrome 121.0.0.0,,,13-02-2024 07:50:30,13-02-2024 07:50:31,1.305s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:50:31,13-02-2024 07:50:32,0.848s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:50:34,13-02-2024 07:50:34,0.003s,PASSED
,,,,,,,
Test Cases/Login 01 - Sukses,Chrome 121.0.0.0,,,13-02-2024 07:50:34,13-02-2024 07:51:24,49.600s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:50:34,13-02-2024 07:50:35,1.179s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:50:35,13-02-2024 07:50:36,0.935s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 07:50:36,13-02-2024 07:50:45,8.600s,PASSED
