Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), password)",Chrome 121.0.0.0,,,13-02-2024 07:46:24,13-02-2024 07:46:25,1.249s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_PERSONAL DETAILS_first_nameRegisterPage""), firstName)",Chrome 121.0.0.0,,,13-02-2024 07:46:25,13-02-2024 07:46:26,1.629s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_last_nameR_6ef033""), lastName)",Chrome 121.0.0.0,,,13-02-2024 07:46:26,13-02-2024 07:46:28,1.241s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_phone_numb_7c938a""), phoneNumber)",Chrome 121.0.0.0,,,13-02-2024 07:46:28,13-02-2024 07:46:29,1.499s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/select_AfganistanAlbaniaAlgeriaAmerican Sam_3cef8a""), country, true)",Chrome 121.0.0.0,,,13-02-2024 07:46:29,13-02-2024 07:46:37,7.371s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_Country_cityRegisterPage""), city)",Chrome 121.0.0.0,,,13-02-2024 07:46:37,13-02-2024 07:46:38,1.137s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 25 character_addressReg_9e23b3""), address)",Chrome 121.0.0.0,,,13-02-2024 07:46:38,13-02-2024 07:46:39,1.397s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 50 character_state__pro_272a54""), region)",Chrome 121.0.0.0,,,13-02-2024 07:46:39,13-02-2024 07:46:40,1.279s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 10 character_postal_cod_639c2f""), postCode)",Chrome 121.0.0.0,,,13-02-2024 07:46:40,13-02-2024 07:46:42,1.471s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_Receive exclusive offers and promotio_5c7450""))",Chrome 121.0.0.0,,,13-02-2024 07:46:42,13-02-2024 07:46:43,1.174s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/button_REGISTER""))",Chrome 121.0.0.0,,,13-02-2024 07:46:43,13-02-2024 07:46:44,0.612s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/span_testname""), username)",Chrome 121.0.0.0,,,13-02-2024 07:46:44,13-02-2024 07:47:15,31.678s,PASSED
delay(3),Chrome 121.0.0.0,,,13-02-2024 07:47:15,13-02-2024 07:47:18,3.018s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:47:18,13-02-2024 07:47:19,0.594s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:47:21,13-02-2024 07:47:21,0.002s,PASSED
,,,,,,,
Test Cases/Register 01 - Sukses,Chrome 121.0.0.0,,,13-02-2024 07:47:21,13-02-2024 07:48:40,1m - 19.016s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:47:22,13-02-2024 07:47:23,1.226s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,13-02-2024 07:47:23,13-02-2024 07:47:25,1.877s,PASSED
