Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), password)",Chrome 121.0.0.0,,,12-02-2024 10:32:32,12-02-2024 10:32:33,0.645s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_PERSONAL DETAILS_first_nameRegisterPage""), firstName)",Chrome 121.0.0.0,,,12-02-2024 10:32:33,12-02-2024 10:32:34,1.217s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_last_nameR_6ef033""), lastName)",Chrome 121.0.0.0,,,12-02-2024 10:32:34,12-02-2024 10:32:35,1.228s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_phone_numb_7c938a""), phoneNumber)",Chrome 121.0.0.0,,,12-02-2024 10:32:35,12-02-2024 10:32:36,1.202s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/select_AfganistanAlbaniaAlgeriaAmerican Sam_3cef8a""), country, true)",Chrome 121.0.0.0,,,12-02-2024 10:32:36,12-02-2024 10:32:41,4.618s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_Country_cityRegisterPage""), city)",Chrome 121.0.0.0,,,12-02-2024 10:32:41,12-02-2024 10:32:42,0.716s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 25 character_addressReg_9e23b3""), address)",Chrome 121.0.0.0,,,12-02-2024 10:32:42,12-02-2024 10:32:43,1.198s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 50 character_state__pro_272a54""), region)",Chrome 121.0.0.0,,,12-02-2024 10:32:43,12-02-2024 10:32:44,1.157s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 10 character_postal_cod_639c2f""), postCode)",Chrome 121.0.0.0,,,12-02-2024 10:32:44,12-02-2024 10:32:45,1.192s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_Receive exclusive offers and promotio_5c7450""))",Chrome 121.0.0.0,,,12-02-2024 10:32:45,12-02-2024 10:32:46,0.617s,PASSED
